链id,链名,代码,名称,市场,环节,关系档,置信,证据状态,来源,证据缺失?,reason,【审】新关系档,【审】处理(保留/改档/移出/升级),【审】reviewStatus,【审】改reason或备注
ai-infra,AI 推理基础设施链,000657,中钨高新,CN,其他链上环节,candidate,low,needs_review,chain,,钨矿、粉末、硬质合金、PCB微钻和高端刀具,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,000962,东方钽业,CN,其他链上环节,candidate,low,needs_review,chain,,钽粉、钽丝、钽铌制品和电容器材料,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,002428,云南锗业,CN,其他链上环节,candidate,low,needs_review,chain,,锗矿、四氯化锗、红外光学和化合物半导体材料,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,300285,国瓷材料,CN,先进封装/封测,candidate,low,needs_review,chain,,MLCC介质粉体、电子浆料和纳米氧化锆,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,605090,九丰能源,CN,先进封装/封测,candidate,low,needs_review,chain,,LNG/LPG主业及高纯氦气资源与终端供应,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,300602,飞荣达,CN,数据中心电力,candidate,low,needs_review,chain,,液冷板、CDU及电磁屏蔽与热管理器件,remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
ai-infra,AI 推理基础设施链,300990,同飞股份,CN,数据中心电力,candidate,low,needs_review,chain,,冷板及浸没液冷方案、CDU、冷站和换热设备,remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
ai-infra,AI 推理基础设施链,920808,曙光数创,CN,数据中心电力,candidate,low,needs_review,chain,,浸没与冷板液冷基础设施、室外冷却及预制管路,remove,移出,move_to_data-center-power,电力/温控/供配电外溢链已独立；从 AI 推理基础设施链静态关系移出，保留在 data-center-power，AI 推理页可用“相关链”承接。
ai-infra,AI 推理基础设施链,688535,华海诚科,CN,先进封装/封测,candidate,low,needs_review,chain,,环氧塑封料、底部填充等先进封装材料,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,688019,安集科技,CN,半导体设备,candidate,low,needs_review,chain,,CMP抛光液、湿电子化学品、电镀液和添加剂,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,300054,鼎龙股份,CN,半导体设备,candidate,low,needs_review,chain,,CMP抛光垫、抛光液和半导体显示材料,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,688300,联瑞新材,CN,先进封装/封测,candidate,low,needs_review,chain,,球形硅微粉、氧化铝等功能性粉体,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,300666,江丰电子,CN,半导体设备,candidate,low,needs_review,chain,,超高纯金属溅射靶材和半导体精密零部件,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,688268,华特气体,CN,先进封装/封测,candidate,low,needs_review,chain,,光刻、蚀刻、成膜和掺杂用高纯电子特气,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,688106,金宏气体,CN,先进封装/封测,candidate,low,needs_review,chain,,大宗气体、电子特气和现场制气服务,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,002409,雅克科技,CN,先进封装/封测,candidate,low,needs_review,chain,,前驱体、光刻胶配套材料、LNG保温和电子材料平台,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,600206,有研新材,CN,先进封装/封测,candidate,low,needs_review,chain,,靶材、稀贵金属和半导体功能材料,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,300346,南大光电,CN,先进封装/封测,candidate,low,needs_review,chain,,前驱体、电子特气、光刻胶及配套材料,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,300236,上海新阳,CN,先进封装/封测,candidate,low,needs_review,chain,,电镀液、清洗液、光刻胶配套和晶圆制造化学品,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,300408,三环集团,CN,先进封装/封测,candidate,low,needs_review,chain,,MLCC陶瓷材料、陶瓷基板和电子陶瓷元件,remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,002436,兴森科技,CN,服务器/算力代工,candidate,low,needs_review,chain,,IC封装基板、样板和高速PCB,indirect,升级,needs_evidence,IC封装基板/高速 PCB，升间接；需封装基板和 AI 服务器链条证据。
ai-infra,AI 推理基础设施链,603256,宏和科技,CN,服务器/算力代工,candidate,low,needs_review,chain,,高端电子级玻纤布和低介电电子布,indirect,升级,needs_evidence,高端电子级玻纤布/低介电材料属 PCB 上游，升间接但不得直接。
ai-infra,AI 推理基础设施链,605589,圣泉集团,CN,服务器/算力代工,candidate,low,needs_review,chain,,酚醛树脂、特种环氧树脂和电子材料,indirect,升级,needs_evidence,电子材料/树脂属 PCB/封装材料上游，升间接，需 AI 服务器/封装客户验证。
ai-infra,AI 推理基础设施链,301217,铜冠铜箔,CN,服务器/算力代工,candidate,low,needs_review,chain,,PCB用电子铜箔和锂电铜箔,indirect,升级,needs_evidence,电子铜箔属 PCB 上游材料，升间接；传导较远，需订单验证。
ai-infra,AI 推理基础设施链,301511,德福科技,CN,服务器/算力代工,candidate,low,needs_review,chain,,电子电路铜箔和锂电铜箔,indirect,升级,needs_evidence,电子电路铜箔属 PCB 上游材料，升间接；传导较远，需订单验证。
ai-infra,AI 推理基础设施链,300474,景嘉微,CN,国产算力芯片,candidate,low,needs_review,chain,,"国产GPU稀缺标的,军用+信创图形处理器",sentiment,改档,needs_evidence,国产 GPU 稀缺标的，但和海外 AI 推理链无供货传导，先 sentiment；需订单/收入验证。
ai-infra,AI 推理基础设施链,603019,中科曙光,CN,服务器/算力代工,candidate,low,needs_review,chain,,"国产算力整机龙头,海光与曙光数创母公司",indirect,升级,needs_evidence,国产算力整机/海光关联，可升间接；需整机订单和收入验证。
ai-infra,AI 推理基础设施链,002185,华天科技,CN,先进封装/封测,candidate,low,needs_review,chain,,"封测三巨头之一,先进封装布局",remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,300563,神宇股份,CN,铜连接/高速互连(铜),candidate,low,needs_review,chain,,"高速线缆/同轴线材,铜连接二线弹性",indirect,升级,needs_evidence,高速线缆/铜连接二线，升间接；需 GB/AI服务器铜连接客户验证。
ai-infra,AI 推理基础设施链,600667,太极实业,CN,存储/HBM,candidate,low,needs_review,chain,,"海力士无锡封测合资,HBM后道配套",remove,移出,move_to_storage_hbm_chain,存储/HBM 需要独立链或子链；多数不是 HBM 直接供应，先移出 AI 推理静态关系，后续按存储链重审。
ai-infra,AI 推理基础设施链,688702,盛科通信,CN,光模块/高速互连,candidate,low,needs_review,chain,,"国产交换芯片唯一标的,对标博通Tomahawk",indirect,升级,needs_evidence,国产交换芯片与 AI 网络相关，升间接；需数据中心交换芯片订单/客户验证。
ai-infra,AI 推理基础设施链,688082,盛美上海,CN,半导体设备,candidate,low,needs_review,chain,,"清洗设备龙头,半导体前道设备平台",remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,688037,芯源微,CN,半导体设备,candidate,low,needs_review,chain,,"涂胶显影设备唯一标的,光刻配套",remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,300620,光库科技,CN,光模块/高速互连,candidate,low,needs_review,chain,,"薄膜铌酸锂/光器件,CPO与相干光核心",indirect,升级,needs_evidence,薄膜铌酸锂/光器件/CPO 上游，升间接；需验证数据中心客户和收入占比。
ai-infra,AI 推理基础设施链,603083,剑桥科技,CN,光模块/高速互连,candidate,low,needs_review,chain,,数通光模块+硅光/CPO概念,indirect,升级,needs_evidence,数通光模块/CPO 概念，可升间接但置信不高；需客户和订单验证。
ai-infra,AI 推理基础设施链,688313,仕佳光子,CN,光模块/高速互连,candidate,low,needs_review,chain,,"光分路器芯片/MPO,光模块上游",indirect,升级,needs_evidence,光模块上游器件，升间接；需业务暴露验证。
ai-infra,AI 推理基础设施链,002472,双环传动,CN,其他链上环节,candidate,low,needs_review,chain,,"齿轮/减速器龙头,人形机器人执行器",remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,603667,五洲新春,CN,其他链上环节,candidate,low,needs_review,chain,,"轴承+丝杠,机器人执行器二线",remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,603728,鸣志电器,CN,其他链上环节,candidate,low,needs_review,chain,,"空心杯/步进电机,机器人电机核心",remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,003021,兆威机电,CN,其他链上环节,candidate,low,needs_review,chain,,微型传动/灵巧手核心,remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,002415,海康威视,CN,其他链上环节,candidate,low,needs_review,chain,,"安防+AI视觉龙头,AI落地标杆",remove,移出,remove_or_future_thematic_chain,与 AI 推理基础设施传导过远；从 ai-infra 移出，后续如做机器人/端侧AI/资源/军工链再独立审。
ai-infra,AI 推理基础设施链,688362,甬矽电子,CN,先进封装/封测,candidate,low,needs_review,chain,,"先进封装二线,SiP/倒装布局",remove,移出,move_to_semiconductor_equipment_or_advanced_packaging_chain,不放入 AI 推理基础设施静态关系；移入后续“半导体设备/先进封装/材料链”候选。
ai-infra,AI 推理基础设施链,NVDA,英伟达,US,海外事件触发源,trigger,medium,manual_only,chain,,"AI 算力霸主,GPU 绝对龙头",,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,AMD,超威半导体,US,海外事件触发源,trigger,medium,manual_only,chain,,"GPU 第二极,MI 系列对标英伟达",,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,AVGO,博通,US,海外事件触发源,trigger,medium,manual_only,chain,,定制 ASIC + 网络芯片双轮,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,TSM,台积电,US,海外事件触发源,trigger,medium,manual_only,chain,,先进制程独家代工,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,ASML,阿斯麦,US,海外事件触发源,trigger,medium,manual_only,chain,,EUV 光刻机独家供应,remove,移出,move_to_semiconductor_equipment_trigger,更适合作为半导体设备/EDA/材料触发源；不建议归入 AI 推理基础设施主触发源。
ai-infra,AI 推理基础设施链,MU,美光,US,海外事件触发源,trigger,medium,manual_only,chain,,HBM 高带宽存储三巨头之一,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,MRVL,迈威尔,US,海外事件触发源,trigger,medium,manual_only,chain,,光 DSP + 定制芯片,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,ARM,Arm,US,海外事件触发源,trigger,medium,manual_only,chain,,全球 CPU 架构 IP 授权,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,INTC,英特尔,US,海外事件触发源,trigger,medium,manual_only,chain,,x86 CPU 老牌龙头,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,SMCI,超微电脑,US,海外事件触发源,trigger,medium,manual_only,chain,,AI 服务器整机弹性标的,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,DELL,戴尔,US,海外事件触发源,trigger,medium,manual_only,chain,,企业级 AI 服务器主力,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,ANET,Arista,US,海外事件触发源,trigger,medium,manual_only,chain,,数据中心高速交换机龙头,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,VRT,Vertiv,US,海外事件触发源,trigger,medium,manual_only,chain,,数据中心液冷与供配电,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,MSFT,微软,US,海外事件触发源,trigger,medium,manual_only,chain,,Azure + OpenAI 算力买方,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,GOOGL,谷歌,US,海外事件触发源,trigger,medium,manual_only,chain,,自研 TPU + 云需求,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,AMZN,亚马逊,US,海外事件触发源,trigger,medium,manual_only,chain,,AWS 全球最大云厂,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,META,Meta,US,海外事件触发源,trigger,medium,manual_only,chain,,开源大模型 + 巨额算力投入,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,ORCL,甲骨文,US,海外事件触发源,trigger,medium,manual_only,chain,,OCI 云 + RPO 暴增,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,PLTR,Palantir,US,海外事件触发源,trigger,medium,manual_only,chain,,AI 落地应用平台,remove,移出,move_to_ai_application_trigger,更适合作为 AI 应用/数据授权触发源；从 ai-infra 移出，路由到 ai-application insight。
ai-infra,AI 推理基础设施链,TSLA,特斯拉,US,海外事件触发源,trigger,medium,manual_only,chain,,FSD + 人形机器人 Optimus,remove,移出,move_to_robot_ev_trigger,智能车/机器人触发源，和 AI 推理基础设施不是同一链，移出。
ai-infra,AI 推理基础设施链,CRWV,CoreWeave,US,海外事件触发源,trigger,medium,manual_only,chain,,纯 GPU 云租赁新贵,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,COHR,相干,US,海外事件触发源,trigger,medium,manual_only,chain,,光器件与光芯片,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,LRCX,泛林半导体,US,海外事件触发源,trigger,medium,manual_only,chain,,刻蚀设备龙头,remove,移出,move_to_semiconductor_equipment_trigger,更适合作为半导体设备/EDA/材料触发源；不建议归入 AI 推理基础设施主触发源。
ai-infra,AI 推理基础设施链,AMAT,应用材料,US,海外事件触发源,trigger,medium,manual_only,chain,,全球最大半导体设备商,remove,移出,move_to_semiconductor_equipment_trigger,更适合作为半导体设备/EDA/材料触发源；不建议归入 AI 推理基础设施主触发源。
ai-infra,AI 推理基础设施链,CDNS,Cadence,US,海外事件触发源,trigger,medium,manual_only,chain,,EDA 工具双寡头之一,remove,移出,move_to_semiconductor_equipment_trigger,更适合作为半导体设备/EDA/材料触发源；不建议归入 AI 推理基础设施主触发源。
ai-infra,AI 推理基础设施链,SNPS,新思科技,US,海外事件触发源,trigger,medium,manual_only,chain,,EDA 工具双寡头之一,remove,移出,move_to_semiconductor_equipment_trigger,更适合作为半导体设备/EDA/材料触发源；不建议归入 AI 推理基础设施主触发源。
ai-infra,AI 推理基础设施链,DLR,Digital Realty,US,海外事件触发源,trigger,medium,manual_only,chain,,全球数据中心 REIT,,保留,ok,保留。
ai-infra,AI 推理基础设施链,LITE,Lumentum Holdings,US,海外事件触发源,trigger,medium,manual_only,chain,,光器件与数据中心互联,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,FN,Fabrinet,US,海外事件触发源,trigger,medium,manual_only,chain,,光通信代工,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,CIEN,Ciena,US,海外事件触发源,trigger,medium,manual_only,chain,,光网络系统,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,IPGP,IPG Photonics,US,海外事件触发源,trigger,medium,manual_only,chain,,工业激光器,remove,移出,move_to_semiconductor_equipment_trigger,更适合作为半导体设备/EDA/材料触发源；不建议归入 AI 推理基础设施主触发源。
ai-infra,AI 推理基础设施链,GLW,Corning,US,海外事件触发源,trigger,medium,manual_only,chain,,光纤与特种材料,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,WDC,Western Digital,US,海外事件触发源,trigger,medium,manual_only,chain,,大容量HDD,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,SNDK,Sandisk,US,海外事件触发源,trigger,medium,manual_only,chain,,NAND与企业级SSD,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,STX,Seagate Technology,US,海外事件触发源,trigger,medium,manual_only,chain,,大容量HDD,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,CLS,Celestica,US,海外事件触发源,trigger,medium,manual_only,chain,,ODM制造,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,NBIS,Nebius Group,US,海外事件触发源,trigger,medium,manual_only,chain,,AI基础设施服务,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,CVX,Chevron,US,海外事件触发源,trigger,medium,manual_only,chain,,综合油气与基础负荷,remove,移出,move_to_data-center-power_trigger,更适合作为数据中心电力/能源侧触发源；不归 AI 推理基础设施静态触发源。
ai-infra,AI 推理基础设施链,LNG,Cheniere Energy,US,海外事件触发源,trigger,medium,manual_only,chain,,液化天然气出口,remove,移出,move_to_data-center-power_trigger,更适合作为数据中心电力/能源侧触发源；不归 AI 推理基础设施静态触发源。
ai-infra,AI 推理基础设施链,GEV,GE Vernova,US,海外事件触发源,trigger,medium,manual_only,chain,,电网与燃气轮机,remove,移出,move_to_data-center-power_trigger,更适合作为数据中心电力/能源侧触发源；不归 AI 推理基础设施静态触发源。
ai-infra,AI 推理基础设施链,BE,Bloom Energy,US,海外事件触发源,trigger,medium,manual_only,chain,,燃料电池与分布式供电,remove,移出,move_to_data-center-power_trigger,更适合作为数据中心电力/能源侧触发源；不归 AI 推理基础设施静态触发源。
ai-infra,AI 推理基础设施链,FLNC,Fluence Energy,US,海外事件触发源,trigger,medium,manual_only,chain,,储能系统,remove,移出,move_to_data-center-power_trigger,更适合作为数据中心电力/能源侧触发源；不归 AI 推理基础设施静态触发源。
ai-infra,AI 推理基础设施链,AES,The AES Corporation,US,海外事件触发源,trigger,medium,manual_only,chain,,公用事业与可再生能源,remove,移出,move_to_data-center-power_trigger,更适合作为数据中心电力/能源侧触发源；不归 AI 推理基础设施静态触发源。
ai-infra,AI 推理基础设施链,SMR,NuScale Power,US,海外事件触发源,trigger,medium,manual_only,chain,,小型模块化反应堆,remove,移出,move_to_data-center-power_trigger,更适合作为数据中心电力/能源侧触发源；不归 AI 推理基础设施静态触发源。
ai-infra,AI 推理基础设施链,OKLO,Oklo,US,海外事件触发源,trigger,medium,manual_only,chain,,微型反应堆,remove,移出,move_to_data-center-power_trigger,更适合作为数据中心电力/能源侧触发源；不归 AI 推理基础设施静态触发源。
ai-infra,AI 推理基础设施链,UUUU,Energy Fuels,US,海外事件触发源,trigger,medium,manual_only,chain,,铀矿与稀土,remove,移出,move_to_data-center-power_trigger,更适合作为数据中心电力/能源侧触发源；不归 AI 推理基础设施静态触发源。
ai-infra,AI 推理基础设施链,GOOG,Alphabet,US,海外事件触发源,trigger,medium,manual_only,chain,,GCP、Gemini与TPU,,保留,ok,保留为 AI 推理/基础设施触发源；建议补 triggerGroup，避免所有美股同一类 trigger。
ai-infra,AI 推理基础设施链,NOW,ServiceNow,US,海外事件触发源,trigger,medium,manual_only,chain,,企业SaaS与AI工作流,remove,移出,move_to_ai_application_trigger,更适合作为 AI 应用/数据授权触发源；从 ai-infra 移出，路由到 ai-application insight。
ai-infra,AI 推理基础设施链,SNOW,Snowflake,US,海外事件触发源,trigger,medium,manual_only,chain,,云数据平台,remove,移出,move_to_ai_application_trigger,更适合作为 AI 应用/数据授权触发源；从 ai-infra 移出，路由到 ai-application insight。
ai-infra,AI 推理基础设施链,LI,Li Auto,US,海外事件触发源,trigger,medium,manual_only,chain,,智能电动车,remove,移出,move_to_robot_ev_trigger,智能车/机器人触发源，和 AI 推理基础设施不是同一链，移出。
ai-infra,AI 推理基础设施链,XPEV,XPeng,US,海外事件触发源,trigger,medium,manual_only,chain,,智能驾驶与电动车,remove,移出,move_to_robot_ev_trigger,智能车/机器人触发源，和 AI 推理基础设施不是同一链，移出。
ai-infra,AI 推理基础设施链,COIN,Coinbase Global,US,海外事件触发源,trigger,medium,manual_only,chain,,加密交易所,remove,移出,remove_or_future_crypto_ai_datacenter_trigger,加密/矿企/稳定币不是 AI 推理基础设施主触发源；如做 AI 数据中心/算力租赁外溢再单独审。
ai-infra,AI 推理基础设施链,RIOT,Riot Platforms,US,海外事件触发源,trigger,medium,manual_only,chain,,矿企向AI算力转型,remove,移出,remove_or_future_crypto_ai_datacenter_trigger,加密/矿企/稳定币不是 AI 推理基础设施主触发源；如做 AI 数据中心/算力租赁外溢再单独审。
ai-infra,AI 推理基础设施链,BTDR,Bitdeer Technologies,US,海外事件触发源,trigger,medium,manual_only,chain,,矿企与AI数据中心,remove,移出,remove_or_future_crypto_ai_datacenter_trigger,加密/矿企/稳定币不是 AI 推理基础设施主触发源；如做 AI 数据中心/算力租赁外溢再单独审。
ai-infra,AI 推理基础设施链,IREN,IREN Limited,US,海外事件触发源,trigger,medium,manual_only,chain,,矿企与AI云,remove,移出,remove_or_future_crypto_ai_datacenter_trigger,加密/矿企/稳定币不是 AI 推理基础设施主触发源；如做 AI 数据中心/算力租赁外溢再单独审。
ai-infra,AI 推理基础设施链,GLXY,Galaxy Digital,US,海外事件触发源,trigger,medium,manual_only,chain,,加密金融服务,remove,移出,remove_or_future_crypto_ai_datacenter_trigger,加密/矿企/稳定币不是 AI 推理基础设施主触发源；如做 AI 数据中心/算力租赁外溢再单独审。
ai-infra,AI 推理基础设施链,CRCL,Circle Internet Group,US,海外事件触发源,trigger,medium,manual_only,chain,,USDC发行方,remove,移出,remove_or_future_crypto_ai_datacenter_trigger,加密/矿企/稳定币不是 AI 推理基础设施主触发源；如做 AI 数据中心/算力租赁外溢再单独审。
ai-infra,AI 推理基础设施链,RKLB,Rocket Lab USA,US,海外事件触发源,trigger,medium,manual_only,chain,,火箭与卫星制造,remove,移出,remove_or_future_space_defense_trigger,航天/军工/无人机触发源不属于 AI 推理基础设施，移出。
ai-infra,AI 推理基础设施链,ASTS,AST SpaceMobile,US,海外事件触发源,trigger,medium,manual_only,chain,,卫星直连手机,remove,移出,remove_or_future_space_defense_trigger,航天/军工/无人机触发源不属于 AI 推理基础设施，移出。
ai-infra,AI 推理基础设施链,PL,Planet Labs PBC,US,海外事件触发源,trigger,medium,manual_only,chain,,遥感卫星与地理数据,remove,移出,remove_or_future_space_defense_trigger,航天/军工/无人机触发源不属于 AI 推理基础设施，移出。
ai-infra,AI 推理基础设施链,LMT,Lockheed Martin,US,海外事件触发源,trigger,medium,manual_only,chain,,大型国防承包商,remove,移出,remove_or_future_space_defense_trigger,航天/军工/无人机触发源不属于 AI 推理基础设施，移出。
ai-infra,AI 推理基础设施链,RTX,RTX Corporation,US,海外事件触发源,trigger,medium,manual_only,chain,,航空航天与国防系统,remove,移出,remove_or_future_space_defense_trigger,航天/军工/无人机触发源不属于 AI 推理基础设施，移出。
ai-infra,AI 推理基础设施链,AVAV,AeroVironment,US,海外事件触发源,trigger,medium,manual_only,chain,,无人机与反无人机,remove,移出,remove_or_future_space_defense_trigger,航天/军工/无人机触发源不属于 AI 推理基础设施，移出。
ai-infra,AI 推理基础设施链,SITM,SiTime,US,海外事件触发源,trigger,medium,manual_only,chain,,精密时钟与MEMS振荡器,remove,移出,move_to_semiconductor_equipment_trigger,更适合作为半导体设备/EDA/材料触发源；不建议归入 AI 推理基础设施主触发源。
ai-infra,AI 推理基础设施链,RDDT,Reddit,US,海外事件触发源,trigger,medium,manual_only,chain,,社区内容与AI数据授权,remove,移出,move_to_ai_application_trigger,更适合作为 AI 应用/数据授权触发源；从 ai-infra 移出，路由到 ai-application insight。
